id,date,overall_rating,pros,cons,sounds_like_hr
empReview_17745802,"Nov 6, 2017",1.0,"Summary of the review-
If you are coming from an average employer of experience between 1-2 years-
Go for it for an year and then move on. Focus on improving your professional skills and groom them and then move on. Company has a good brand value and it should stay like this for another year (maximum - 2018 end). It will add value to your profile/resume.

If you are coming from a Top employer / Top college - They will try to lure you by benefits/money. Don't be lured. It will be a drop in your career. You won't grow professionally and why do you want to bring negativity in your system. This company might destroy your energy and your viewpoint about startups. You don't want to be here. Trust me.

+ Brand value of company is good in Middle East with its recent success in funding
+ Can be a good learning experience for someone between 1-3 years of experience. Note- Good learning experience for 1 year. After that it drops steeply.
+If you role is direct reporting to CEO/CFO/Senior Leadership, and you have a direct transparency of your work, you can grow faster if you know how to brand yourself
+Good to join for a small time and then you can switch to a better employer/startup like Careem","-Work Culture - There's no work culture to be honest. People are fired who object to Senior Management decisions/talks. Company is sales centric though it fakes itself to show people centric to employees.  There's no chemistry in the work culture. No one works to put their heart into company/work. People come, people work and they go back home when its time to leave. Everyone works in-silo. Zero coordination between teams and no one goes out of their way to help out people.

A lot of effort is spent on generation of fake PR while in actual the technology wing sucks bad. There are no HR policies and people have been fired in past citing performance related reasons while in actual there's no performance evaluation system in place. People are fired and exit the company behind back doors. You only get to know on their last working day.

Middle Management: One of the main reasons why this company is not a good place to work is because of 0 empowerment. The decisions are trickled from Senior leadership -> Bottom employees. Middle managers are the distributors of work and their view point is not at all taken into account (few are very close and trusted by leadership - The branding likeables). Key and critical decisions are taken behind doors and then forced upon employees. 

Quarterly meetings have awards given to random people which is decided in last 15-20 mins before the meetings. 

Technology- Technology teams are struggling badly. Some people have been brought from top employers and they are treated like Gods from heaven. There are people who are paid 2X,3X or even 5X just because they are poached from Top employers. They expect innovation and high productivity from these 5% of individuals. They’ve created an empire/hierarchy similar to historic era when Kings ruled the poor/farmers/needy people. The poor/farmers/needy people are the cost based hiring which they did initially and the wealthy are the recent recruits who are asked to rule them. Their product has numerous bugs and hardly anyone is Tech savvy in products/engineering teams. Hiring is totally random. You would see a core technical person poor in ethics/cultural point of view. Or a poor technical person with good work ethics and politeness. So everything is random. 

Company lacks heart and is struggling with its both Mission and Vision statement. 
Maybe its on a path to get acquired. All these factors contribute to an average company which is on a path to either become acquired or go extinct. Company is shown in media as very cool and tech centric but this is all fake. This is not where you would grow professionally as there are hardly any leaders in company.
Other co-founder is constantly chasing people to fill good reviews on Glassdoor :D. You can read other reviews about it on Glassdoor as well.",0
empReview_15326423,"Jun 4, 2017",4.0,"The company is a start up and you have to create the opportunity to grow within the company. 

during my tenure, I have seen people given second chances for their mistakes committed. So I never have seen a company giving opportunities to cover up the employee's mistakes and still keep them employed.",The company is growing and so its people. So issues are a common factor but no specific con.,1
empReview_20874411,"Jun 3, 2018",4.0,Because  I really enjoy the company. I was work in company as a faimly,I am happy that company is growing in Medina Hub. I start company hub in Medina with one courier and now we have a big team in company.,0
empReview_14947893,"May 6, 2017",1.0,Nothing to say as pros,"1) They just say as technology company
2) They don't know what's technology
3) Treat employees as slaves and especially saying onsite is a creep
4) They have a lot of branches but they really don't know who works and who not
5) Upper management is very poor
6) Team managers don't know how to work they want to get the salary
7) fire people's without approval from upper management
8) Join ppl's without the team lead knowledge
9) Lot of politics involved
10) Cant sustain a month even if you are not favor to your managers.",0
empReview_16393980,"Aug 16, 2017",1.0,"They are good at posting the fake reviews, most of the good reviews which you find here specially from Senior Software Engineers, were forced by the management to employees to post.","company is one of the very bad  startups which has complete messed up management and all you care about is work and zero work life balance, company is for you.

Most wants to leave but are struck due to either contract or fear that it might break experience if they leave in short time.",0
empReview_17494841,"Oct 23, 2017",5.0,"Flexible, relaxed, fun place to work in. Technology enabled approach. Very open to new ideas.",Located far from the centre of town,0
empReview_53765399,"Oct 9, 2021",5.0,"Ranked #1 Start-up company in GCC, Company equips a wide array of technological plus to address the needs of booming e-commerce industries across UAE and GCC.

Employees are ethnically diverse, and growth is ensured to those who excel in the long term.

A fun, conducive work environment for the young and goal-oriented individuals.",Long working hours hours hours,1
empReview_15767512,"Jul 5, 2017",5.0,"Good organisation to work with and learn
Positive work environment
Balance between work and life",Nothing here to mention about,1
empReview_51597351,"Aug 25, 2021",5.0,"- Great Work Culture
- Progressive Environment
- The new management is amazing!","- No clear strategy 
- Financial issues",0
empReview_52506250,"Sep 14, 2021",4.0,Good place to learn and flexible to work,You feel away cause you work away from headquarter,0
empReview_20593625,"May 15, 2018",5.0,great place to work everyday,long hours and no work from home policy,0
empReview_18263784,"Dec 8, 2017",1.0,"1. Good company to learn things
2. Nice Office","1.  No appraisal or increment policy.
2. You will never be appreciated for your work.
3. Only politics
4.  they can leave you out to dry.",0
empReview_22880622,"Oct 10, 2018",1.0,It is a good service provider.,"Delayed salary, more than a week already.",0
empReview_33626694,"Jun 10, 2020",3.0,"1. The pay
2. The experience","1. Communication with offices outside Dubai could be better.
2. Not enough visibility within the organization",0
empReview_41479940,"Jan 27, 2021",5.0,Amazing group of people to work along,Need to get more organised,1
empReview_42086086,"Feb 7, 2021",4.0,People are the reason you would wanna work there.,Benefits are quite uncompetitive compared to other companies,0
empReview_43515011,"Mar 5, 2021",5.0,"Good company , env , people, env",bad management bad management management,0
empReview_58775061,"Jan 29, 2022",3.0,"Salaries, work from home conditions and company's reputation",Lack of professionalism and not paying enough attention to gaining employees' loyalty,0
empReview_56918257,"Dec 20, 2021",5.0,Good to work for it,I worked there for 3 years and i was happy till the liquidation that happened to the company suddenly,0
empReview_57700924,"Jan 10, 2022",5.0,the best work env. and helpful team,nothing to say at all,1
empReview_31012157,"Dec 26, 2019",1.0,"Until a year ago:

- Enormous growth opportunities for both company & staff.
- Creative environment & decent valuation of tech & Product Expertise.
- Transparency.
- Good pay.","Starting mid 2018:

- 0 Clarity.
- Recent complete management change.
- Complete focus on cost cutting & 1950s school of management where focus is on numbers & employees are sacrificed heavily.
- New management following famous failed modules of management where it achieves temporary results to pretend things are fixed while in the background things are destroyed on long run. 
- Complete negative rehaul of company DNA. From a tech based company that supports innovation & thrives on creativity to trying to become a traditional non tech company with lots of red tape & employee abuse.
- Ruling the new staff with fear & threats by creating a culture of job insecurity & that all staff can be sacrificed (already 30% of staff has been played off in one day). 

The CEO used to be the pillar of the company & an amazing CEO & leader.
But the new management team has taken over unfortunately.",0
empReview_18697357,"Jan 12, 2018",5.0,"Fast paced you are responsible to make it happen,exciting to see your ideas get executed and then thrive, great sense of satisfaction to see what you want to do actually happen.","Tired of management hiring people who come from corporate backgrounds  and do not understand startup life. You make it happen , you need to be very hands on. It is up to you, I thrive in this environment. I see a lot of bad reviews I know it is from lazy people who just don't have what it takes to be in a startup and they bring the company down. They complain and are not start up minded., I wish Management would stop hiring these kind of people. If you are a driven person with a great ideas then this place makes them happen.",1
empReview_25845845,"Apr 25, 2019",1.0,"I would not recommend this company to anyone.  Everyone is underpaid, the Management team does not care about the product they deliver, and there is absolutely no employee protection.","Prejudice and Racism from the highest levels of Executive Management.  I have witnessed Senior Executives threatening employees verbally and physically.  The attrition rates at Company are due to an incompetent structure where people reward incompetence rather than quality work.

The company works on a policy of fear and retaliation.  Middle Management seems to take pride in underpaying employees. 

I have witnessed the HR department demand that operational staff and warehouse employees take paycuts to their already limited monthly salaries.  All the while they move to pay lazy unsuccessful office staff more money.

DO NOT LEAVE YOUR COMPANY TO WORK FOR COMPaNY.",0
empReview_16038241,"Jul 24, 2017",4.0,"- A lot of learning opportunities with latest technologies. 
- Challenging, fast-paced environment where you are on the ground making many of the important decisions.
- If you meet your deadlines, working hours can be flexible.
- balance between life and work.
- good salaries compared to the market range.","- messed up, unorganized
- a lot of time wasting meetings
- location is far, but no traffic at all so you can drive for less than 30 minutes daily.
- management team are always biased to new tech team members.
- not clear evaluation and promotion criteria , can be unfair sometimes.",0
empReview_15323472,"Jun 4, 2017",4.0,"I have been working at company (More than 3 years)
1) The scope of the company means you can do many things - lots of opportunities to learn new skills if you're willing to relocate and learn.
2) Interesting work and a variety of people and cultures
3) Good benefits
4) Cutting-edge technology
5) The first approach helps to retain loyal customer base
6) CEO are very motivational, they always motivate their employee.",Really didn't have any cons to speak of.,1
empReview_17256281,"Oct 9, 2017",1.0,"I learnt a lot while working under my supervisor, he is my best boss thus far, he was always ready to teach and also learn new stuffs. With the terrible experience I had, it was a good learning ground for my field of work.","They never paid salaries on time and there was no formal apology whenever there was a delay in salary payment. They did not care about health insurance, because I did not get any health coverage while I was there and I fell ill and cover all medical expenses with my money.",0
empReview_24411953,"Jan 28, 2019",2.0,"- Flexible workstyles
- Good tech stacks
- Has the potential to be a great company
- Office is far away from town (hard to get to without a car)","- Disorganized
- People are often underpaid
- Favoritism
- Failure of management to mitigate/address negative situations
- Good suggestions to improve the company are not implemented
- Sensible ideas can often be shut down in order to drive down costs and maintain the status quo",0
empReview_72513393,"Jan 11, 2023",2.0,The folks was pretty solid,imagine the wild west but everything is on fire,0
empReview_67789236,"Aug 10, 2022",2.0,Started with new fresh opportunities and seemingly high-tech.,"Ended with no professionalism with lots of manual time-consuming processes, and inconsiderate people in managerial positions.",0
empReview_69673329,"Oct 1, 2022",5.0,"- Good to work
- Awesome place to learn and have fun","- Bit chaotic
- Low end guys/captains are not well taken care",1
empReview_67123050,"Jul 25, 2022",5.0,They pay good salary and on time,They do appreciate the effort,1
empReview_63894337,"May 9, 2022",3.0,"Learned alot of things when i there, had met amazing people who were friendly and also willing to help you with things.","New management wasn't so great, rules changed based the people you interact with.",0
empReview_64191401,"May 16, 2022",4.0,"Was an amazing company, we had a great dreams & achievements there","Expanding randomly , roadmap wasn’t very clear",0
empReview_62469374,"Apr 7, 2022",5.0,Awesome working environment and team,Management had no clue what they wanted to achieve,0
empReview_61376760,"Mar 18, 2022",5.0,"Pay and benefits
Location
Services rendered
Some good people","Sometimes duplication of effort
I cannot remember much, stay was short",0
empReview_27670422,"Jun 27, 2019",1.0,"Good market to grow, but nothing towards that direction.","Everything. They dont understand what technology means to a company like company.
Tech team is respected the worst. The kind of work you do here is atleast 5 years older than the market standards. Do not get carried away by the salary. Mind you, your salary will not increase for atleast 3 years. I have seen it myself. Whatever performance you do, your salary will not increase. 
Worst management, will ask you to do what they think is right.
You find people listening to your ideas, but at the end of the day, all you get to hear is, "" I understand, but this is what VP wants, this is what CEO wants ""
Why the hell are we engineers here when you want me to do technically crap things?

I sincerely advice anybody who wishes to join company, especially in tech roles and much specifically in data engineering or BI roles, better sit at home. This place will screw your skills, test your patience, and never minds your salary for atleast first 3 years as i told earlier.",0
empReview_61391679,"Mar 18, 2022",5.0,All SD is helpful and really good persons,it's not exists any more,0
empReview_38442627,"Nov 17, 2020",1.0,Self learning was the only benefit,"Everything there, the management, the chaos",0
empReview_20411771,"May 2, 2018",1.0,One of the reputed company,One of the best working place,1
empReview_88041392,"Jun 7, 2024",2.0,Good work and environment. Good benefits,there is no management involvment and people lobby is there,0
empReview_81546778,"Nov 4, 2023",2.0,"I was taken care of, mentored, driven",Crazy co-founder was nasty and just un-professional,0
empReview_78916590,"Aug 7, 2023",3.0,Great startup - Good mentors - Good growth,- Poor management - Short term vision - No path,0
empReview_77478822,"Jun 17, 2023",2.0,"Solving complex business problems, working with large scale global brands.","Politics, financially not so stable",0
empReview_77478649,"Jun 17, 2023",5.0,Very good Env. and very good team,Nothing to say no Cons.,1
empReview_78503438,"Jul 23, 2023",1.0,Very bad company at all,Not a good company at all,0
empReview_75030905,"Mar 30, 2023",4.0,Good Management and working condition,Long work hours. This can be reviewed,0
empReview_72405694,"Jan 7, 2023",2.0,It had some great people and a great mentor.,Low pay and hardly any changes,0
empReview_55741581,"Nov 23, 2021",5.0,Great Culture to work with,Tons of challenges towards funding,1
empReview_46557556,"May 6, 2021",4.0,"Salary Experience team work
supportive leadership","Poor Management
Career path
lack of communication",0
empReview_20259018,"Apr 22, 2018",1.0,Good project model and good business,"Everything worst especially management
Your initial salary will be the final one.
no appreciation  for any level  good task
Head shaking HRs really useless",0
empReview_46878178,"May 13, 2021",3.0,"Flex hours, nice tech stack","Unclear roadmap , miss organization",0
empReview_14271540,"Mar 20, 2017",1.0,They don't bite you or beat you.,"Being shouted at is the norm.
Guys beware , the co-founder gets sadistic pleasure in humiliating employees.",0
empReview_29146015,"Sep 10, 2019",1.0,"Flexible working time, Feel like we are still in university",Fake promises at the time of interview. No process to keep record of your work.,0
empReview_16642023,"Sep 3, 2017",1.0,It is best place to work. Learn new technologie. Good environment.,"HQ Pure politics, Management won't care about employees interms of appreciation and appraisal.",0
empReview_53406903,"Oct 1, 2021",1.0,you learn how to work under mental stress,you get to explore sides from yourself that you never got to learn you have in you before,0
empReview_22667806,"Sep 26, 2018",1.0,pathetic interviewing in warehouse and should fire hr manager,Bad management all over the company,0
empReview_41863570,"Feb 3, 2021",1.0,The mission and the idea of the startup,Incompetent people everywhere who has power,0
empReview_30759209,"Dec 8, 2019",5.0,Creditshop support by devops engineer,Devops  eningeer support by devops,0
empReview_53104954,"Sep 26, 2021",3.0,"Can disrupt the industry, Decent name in the market",Red tape and inconsistent decision making,0
empReview_54721467,"Oct 31, 2021",4.0,Salary was always on time.,No chance to step up,0
empReview_15746516,"Jul 4, 2017",4.0,Great place for development for young professionals,Start up requires lots of personal time,0
empReview_22056078,"Aug 20, 2018",2.0,"good environment, startup, good salary","lack of process, gossip",0
empReview_22860210,"Oct 8, 2018",4.0,Stable work environment and friendly colleagues.,We work with old systems which cause delay.,0
empReview_42588275,"Feb 16, 2021",4.0,Good environment and friendly people,management is not good .,0
empReview_55991189,"Nov 29, 2021",3.0,Good salaries and Working from home,They took our money and we cant find them,0
empReview_35068570,"Aug 19, 2020",5.0,"open culture, good colleagues, good team","no performance review, too far",0
empReview_35612693,"Sep 4, 2020",3.0,Good place to work and other benefits,Upper management pressure down the ladder,0
empReview_22941982,"Oct 14, 2018",1.0,nothing good that could be said,"The super toxic environment inside, the full hierarchy, worst time I ever had in my job experience.",0
empReview_11357894,"Jul 26, 2016",4.0,following QA process in a logical way with big interest in this path using manual and automation concepts.,looking for something better without passion,0
empReview_14179474,"Mar 14, 2017",3.0,Work in small teams on a micro service architecture,very little room for promotion outside the Dubai office,0
empReview_17494789,"Oct 23, 2017",4.0,"Career path- Supportive Management!
challenging",Work under pressure! but its worth it.,0
empReview_25779662,"Apr 21, 2019",5.0,"Great work environment, helpful teams, inspiring management.","Pressure of the job, but that is part of it.",1
empReview_34774550,"Aug 10, 2020",3.0,Open door policy. Freedom to innovate.,Lack of focus and relevant experience for Saudi business sector.,0
empReview_37608078,"Oct 26, 2020",4.0,Amazing place to learn and its filled with opportunities to take up challenges,There is no-one to guide you.,0
empReview_17765375,"Nov 6, 2017",5.0,New challenges and experiences  every day,such comfy place give you a motivation,1
empReview_44408160,"Mar 22, 2021",4.0,Ability to grow and learn new skills,Culture of the company is not so great anymore,0
empReview_33208189,"May 16, 2020",2.0,"joined only if you want learn more about springboot, microservice and springboot","worst management ever , no transparency and people paid for doing nothing",0
empReview_25252248,"Mar 20, 2019",1.0,good salary but with bad life and bad work life,"- toxic environment on QA Team at jordan
- there is no ability to improve yourself
- Super bad evaluation
- the management of the QA Team at jordan is not good, not knowledgeable and experienced.
- fake report generated for management",0
empReview_18624562,"Jan 8, 2018",1.0,It is a very good place to learn nothing,"It is more like a shark tank , the mass is what really matter , not the qualification",0
empReview_26341386,"May 27, 2019",4.0,To maximise me into better living .,Not much due to as freshman,0
empReview_18437000,"Dec 21, 2017",1.0,"Because it's a startup, there is an opportunity to be promoted. Although, they cancelled that and started to get people from outside.","There's no communication, company is in crisis all the time due to lack of communication, there's no financial rights such as annual raise, or any packages (it's just the salary), no environment whatsoever, no spirit.",0
empReview_32008726,"Feb 22, 2020",3.0,"My management is great and helpful, mature and professionals, the company has a great name and good exposure","The business is run like a family business, without policies and procedures in place",0
empReview_17443051,"Oct 19, 2017",3.0,"Timely Salary , 
Not support","Not working time, every day works before 15 hours but payment only 8 hours",0
empReview_19782419,"Mar 20, 2018",5.0,"Big entity, have a great market share, I have learned more about real business from this company.","when it comes to career development, it takes too long.",0
empReview_30669907,"Dec 2, 2019",3.0,Working hours are comfortable and shifts - good people,Job located on Syndicate Of Applicators the worst tower to find job in in 17th floor - compony don't promote agents only there friends... Etc,0
empReview_31300123,"Jan 15, 2020",3.0,accelerated growth for those willing to work and put in time!,Immature decision making from senior management!,0
empReview_22771988,"Oct 3, 2018",3.0,"fair salary ,  no fixed breaks,","noisy place, you will do more than your job description,",0
empReview_29525299,"Sep 30, 2019",2.0,"- Casual dress code
- 3pm finishes on Thursday (although they seem frowned upon)
- Free fruit and coffee everyday, and on occasion, free pizza and ice cream.
- Young and diverse workforce, I have met people from all over the world
- Newly renovated office space, near to metro
- Great company name to have on your CV, which can make you more attractive to recruiters","- Unmotivated, unenthusiastic staff due to high targets and lack of reward. Many talented team members have left already. Most people I know are looking for their next job elsewhere.
- Lack of progression. Management would rather hire new staff than promote internally and do not seem to value current talent. Also, unclear progression roots in many departments. 
- Small team sizes in many departments and similar targets to much larger companies.
- Lots of time and effort is spent on projects, to then be cancelled due to last-minute decisions by management. Last minute changes are to be expected in all projects.
- Multiple complaints and questions have been raised to managers and HR regarding work environment and rewards, and no action has been taken to change this. 
- Half the staff have not received the bonuses promised, the other half won't get anything anyway.
- Micromanagement issues: managers are under pressure to perform with ridiculous targets and do not trust mid and entry level staff. 
- Stay-late culture is unhealthy. It seems frowned upon to leave on time. In a recent meeting with higher management, we were told to work ""24 hours a day"" in order to be successful. This was almost laughable due to the current atmosphere",0
empReview_20656145,"May 19, 2018",4.0,"The people and the friendly management, accessibility to work( located right opposite FAB metro station), excellent employee discount, good medical coverage (covers most of the good hospitals in dubai), great learning if you try hard to be involved and take initiatives since management is very trusting and believes in empowering their employees",Very fast paced so could be a little stressful for people who have come from very organized and bureaucratic places. Should offer phone allowances for people who make business related calls,0
empReview_18511304,"Dec 29, 2017",5.0,"* people are given freedom so that they can impact the business as they like, you can suggest a feature to be implemented and might find yourself deploying it live at the end of the same day
* the team is small and there is a lot of emphasis on quality instead of quantity
* lot of experimenting going on with new technologies, helps building a good resume
* learning sessions and loads of interesting challenges to solve
* the approach in tech is very pragmatic and business-oriented, meaning you get to do test-driven development in some cases but for other things you go straight to production, without too many formalities
* there are a lot of quite smart people to learn from
* heads of other departments are very approachable and generally create a very welcoming environment
* the upper management shows a lot of respect","* communication between teams isn't great, but it's getting better
* a bit of a chaotic environment
* salaries have been quite lower than the competition for some time, but in the last year things have changed a bit and  it changes from team to team
* understaffed in a lot of departments, but there's been recent a hiring spree to mitigate this
* overall vision and goals of the company are not very clear to all employees, for example we don't really know what big things we should work towards in the next year
* in the tech team people don't seem to be hanging out with each other much outside of the office even though they are blending extremely well at work, creating a nice atmosphere in the office
* the scale is large but will probably never be as large as the one of tech giants",0
empReview_34457480,"Jul 27, 2020",1.0,Smart and genuinely nice coworkers that love helping each other,"Leadership team appear to be clueless and it feels like they're not competent enough to run a company as big as company. 

Not only that but even their managerial soft skills are appalling. Employees are demotivated,underpaid, understaffed and under stress with insane work load with low morale. 

Many smart and incredibly competent people are leaving only to be replaced by incompetent and cheaper employees which adds more stress and burden on other employees.",0
empReview_18658273,"Jan 9, 2018",5.0,Software Engineering is the company's core. You get to work on cutting-edge and up to date technologies. There is always room for technical growth. There is no politics in the company.,You won't get enough bean bags.  The company recently introduced Xbox but it's not enough. The Workplace needs many improvements.,0
empReview_29422221,"Sep 24, 2019",2.0,"-Free fruits
-Clean washrooms
-Office right next to metro station","-Morale has gone down.
-Barely any internal promotions. Could promote current employees but prefer to get people from outside.
-Takes too long to sign off on things.",0
empReview_37472556,"Oct 22, 2020",1.0,"There are still a handful of people left who are talented and a dream to work with. However, most of these are now in their notice period… 
It’s close to the metro.","This review is not meant as an attack on people or coming from a place of anger. This is purely so anyone applying to company can go in with open eyes and understand the current situation at company. Rather than a personal attack, it is more of a case that the wrong people have been put in the wrong jobs and previous experience has not been accounted for when hiring. 


Now where to even start..

The cons all stem from the leadership team, two people in particular.
The first is the CEO. There are two main problems here, his ego and that he actually has no power to make any decisions.
Previous employees have worked incredibly hard over the years to build fantastic and close-knit relationships with some of the biggest brands in fashion. However, one quick meeting between the brand and the company CEO can jeopardise that in as little as 15 minutes. His ego, lack of respect for anyone else and “company is bigger than any other brand” attitude, immediately destroys the mutual and strong partnerships that’s previously existed. 

Despite the title of CEO, the CEO has little power within the business. Instead, you will go back and forth on decisions, be asked to always “provide more information”, so he can bide his time as he isn’t actually sure what to do, or able to make the decision himself, before this is then decided by the chairman. The issue here is that decisions about the business are being made by people who are not involved in the day to day running of the company and heads of departments are not consulted, and so as you can imagine, more often than not, the wrong decisions are made. 

To hide the fact the CEO and CCO are unsure how to run the company and out of their depth, they have come up with a strategy. They are now slowly but surely allowing talented and experienced individuals leave and replacing them with timid and inexperienced people who become “yes men” for them. The teams under these new middle managers are left frustrated that they are now answering to people with less experience than them and with no backbone to stick up for the teams when needed. A simple look at the HR team will prove this point. The HR function may as well not exist in this company. 
Marketing is completely understaffed to the point where I am not sure you can call it a marketing department anymore. Jobs such as copy writing, an essential element to the business do not have a team and no importance is put on such a function when looking at team structure or hiring. 
The structures in all departments are also very top heavy. Within most teams, senior members of staff have been hired and there is little importance put on the more junior roles, even though these are the typically the ones doing the majority of the day to day work and ensuring the business is running. 

For those left with experience and with opinions, they are fighting a constant battle. For example, working with the CCO is nothing short of impossible. Despite having absolutely zero experience in running an online fashion company, he does not listen to the teams underneath him who have worked in this field their entire careers. If someone will push back on a task that they do not believe has substance or makes sense for the business they are told it is JFD (this means just do it, with other insulting words thrown in). Yes, this really is how a CCO speaks to staff at this company. 

Overall, the team are demotivated and over worked. They are demotivated as their leadership team has little or no experience and over worked as majority of the people who have left have not been replaced or replaced with someone who is more of a hindrance than a help. There is no respect for people’s personal time. Staff are expected to work 24/7 with trivial phone calls coming through at midnight.",0
empReview_36689081,"Oct 4, 2020",1.0,"Unprofessional, unethical, unbelievable 

Are you thinking about joining company? Seen a role that interests you?
Picture yourself as a high flyer at the regions number one “fashion” destination? 
(FYI fashion is in “” for a reason)

Read on dear applicant, we’ve got just the role for you…

Should you join company expect the following; 
- Be spoken to like you’re a five year old child
- Be micromanaged by the CEO who thinks he understands how to do your specific job better than you
- Receive unrealistic targets and deadlines 
- Incompetent HR (and prospective employee, that’s pretty important don’t you think?!)
- Regularly work OT with no recompense
- Have your personal phone taken over by multiple WhatsApp conversations buzzing throughout your Saturday, Sunday, Monday….. every night
- Work with colleagues, and report into managers completely unskilled and unqualified for their positions
- Likely be paid well under market value 

Better yet, are you female? 
Ever faced discrimination because of your gender? No? Join company! 

Prepare yourself for overt comments made by one particular business ‘leader’, which will leave you thinking you’ve been transported back to 1986 (and desperate for a shower because, gross.) 
Why not take a trip to the photography studio with him, and watch whilst he openly drools and makes explicit comments about the poor unsuspecting female models. Or just simply be doing your job, and wait for him to point our your incompetence due to your gender.
Lovey stuff!
(I haven’t disclosed some of the more physical comments, I’ll let your imagination fill in the gaps…)","And lastly, do you look for a leader who inspires you, mentors you, is trustworthy, dependable and is someone that you can really believe in and get behind? Well, sadly Felipe Garcia won’t give you any of this (especially not the trustworthy bit) but he will give you advice on how to land a job that you’re completely unqualified for.",0
empReview_27999200,"Jul 15, 2019",5.0,"Awesome team, fast paced environment, opportunity for growth and development. Proud to be part of such a success story in the region.  If you show interest in developing your career and work hard, you will be rewarded at company.","The office may not be situated in a cool trendy area, but really nice newly renovated.",1
empReview_20256859,"Apr 22, 2018",5.0,"High priority given to making you feel comfortable within the work environment.

Excellent team management, which motivates you to give your 110% every day.

Opportunities to learn new aspects of business and employ innovative competitive strategies based on your level of creativity are given. 

If you have the potential, company provides you with the platform to build your career.","The kind of background I come from, I believe there are no cons with the way company does things.",1
empReview_74590962,"Mar 16, 2023",4.0,Open culture good for all,Nothing just do your job,1
empReview_73461335,"Feb 8, 2023",5.0,It was an amazing experience with company. The culture was great back then. People in the management were supportive.,It became very political in the recent years.,0
empReview_71254338,"Nov 20, 2022",3.0,There are good leads which will give you a chance to grow rapidly by learning from them.,There's a lot of work in the organization and fewer people in teams(which might not be the case in all teams). This puts a lot of pressure on employees and affects the work-life balance.,0
empReview_72148773,"Dec 27, 2022",4.0,- Free breakfast - Great co-workers - Opportunities for professional development,- Has a long notice period.,0
empReview_72040950,"Dec 21, 2022",2.0,Excellent social environment an cooperative management,Very low in terms of compensations,0
empReview_70347510,"Oct 20, 2022",2.0,Nice people Good vibes Nice environment No dress code Flexible hours,Bad management Low salaries No increments Macro management No CEO,0
empReview_70837145,"Nov 6, 2022",3.0,"Good work place, colleges and management","Low salary, needed to be a bit structured",0
empReview_70325650,"Oct 19, 2022",5.0,- Good Pay - Good Experience,- Organization needs more structure,0
empReview_71269134,"Nov 21, 2022",1.0,"diversity, office ambience and snacks. Facilities are good",extremely unprofessional senior management.no proper training given even if you're a fresher,0
empReview_68646431,"Sep 2, 2022",5.0,Well established company with big opportunities,"Lots of deadlines
Big pressure",1
empReview_65570443,"Jun 15, 2022",2.0,"The teams are great
Good perks
Health insurance also Good
Nice office","Management is unorganized 
No recognition for talent or good work
Only people who are male or from one country to reach high up",0
empReview_62780975,"Apr 14, 2022",2.0,The people of company are great friends,"- HR is a joke and very unprofessional.
- people in higher management are not the right fit for the position they are in.
- At least 5 farewells a month.",0
empReview_65699593,"Jun 18, 2022",4.0,loved working there and the hours was flexible with a management that rewarded hardwork,"Salary, parking issues, nothingelse more",1
empReview_64751628,"May 27, 2022",4.0,Great colleagues to work with,No clear path for growth within the role,0
empReview_64018458,"May 12, 2022",5.0,job security perfect salary smooth process,achieve target orders process 12k,0
